lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.41937525509648,-64.40083432366278,141.0,41.007687,34.90918,48.143745,33.661163,27.6
-41.4190310164298,-64.39973031667915,141.0,46.73627,42.750927,45.64633,37.73109,51.04
-41.41868625025046,-64.39862466371295,141.0,49.870697,48.11011,45.11024,41.474743,92.68
-41.418341473425585,-64.39751902244117,141.0,59.927845,52.22388,44.715626,40.733658,139.84
-41.417997202886134,-64.39641505047071,141.0,86.74888,55.034203,48.46816,42.167118,137.72
-41.41765240478687,-64.39530943257051,141.0,57.881035,52.261726,46.272182,44.70281,138.28
-41.41730759604279,-64.39420382636503,141.0,52.517876,51.085217,57.258904,45.866478,78.36
-41.416963293632705,-64.39309988940859,140.93309431969686,49.98977,47.930542,54.050728,46.95923,111.16
-41.41661846361567,-64.39199430657526,140.78444209634296,48.91419,63.350292,52.49537,46.636932,57.8
-41.41627362295452,-64.39088873543692,140.59187115234008,49.869217,56.58942,65.329414,47.573498,49.84
-41.41592928867595,-64.38978483349534,140.35576758528515,50.161453,50.624115,50.418037,47.76662,129.16
-41.4155844267433,-64.38867928572974,140.1881323247655,52.208485,56.14837,55.563766,47.58411,58.6
-41.415239554167265,-64.38757374965941,140.08153410383588,54.235126,56.415615,67.27074,47.804813,63.04
-41.41489518802234,-64.38646988273352,140.01891873668427,50.45725,60.0663,54.40917,48.586742,86.36
-41.414550294176216,-64.3853643700365,139.97961889893034,51.091057,56.088627,54.05247,49.016083,93.56
-41.414205389687424,-64.38425886903502,139.6566268008498,61.051914,61.575497,55.28561,47.788296,121.08
-41.41386099167832,-64.38315503712572,139.37794623465524,50.70815,50.947605,54.763542,50.701096,7.8
-41.41351606592087,-64.38204955949811,139.14274165605167,62.075798,58.948494,54.805256,49.52838,85.0
-41.41317112952147,-64.38094409356636,138.97511666212387,51.62124,59.116264,56.99074,49.404655,116.32
-41.41282669965031,-64.37984029667444,138.85736324271488,54.189373,59.133434,55.89898,52.458626,93.0
-41.4124817419837,-64.37873485411713,138.69553739223076,57.77713,53.209698,57.503616,52.460594,18.64
-41.412136773675854,-64.37762942325593,138.4897816528309,56.281048,61.127293,56.31072,51.707573,111.48
-41.411792311944794,-64.37652566138229,138.19631356265583,53.152637,65.52565,53.35806,52.36458,136.6
-41.41144732237116,-64.3754202538961,137.84821826829702,71.66663,50.728477,63.616405,49.360123,108.36
-41.411102322157014,-64.3743148581063,137.5001232273513,55.00056,64.76267,60.409576,52.938927,135.36
-41.41075782856821,-64.3732111312518,137.15255032095536,53.083813,60.695553,58.18468,51.853725,80.96
-41.4104128070897,-64.37210575883756,136.80445578669767,56.971905,60.292408,60.27792,53.00117,121.72
-41.41006777497139,-64.37100039812005,136.45636150609863,55.51658,67.78712,57.241886,53.01527,23.88
-41.40972324952699,-64.36989670628549,136.108789359149,56.363113,71.901855,59.534367,53.855156,110.0
