lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.419716382042786,-64.40192839613964,141.0,2.5187829,8.497899,9.207321,0.53168464,1.64
-41.41971328093568,-64.40191844997464,141.00000000000003,8.771737,10.766454,11.880169,4.21797,3.56
-41.41970966297631,-64.40190684611666,141.0,9.627902,12.616432,13.455013,6.263027,3.44
-41.419706045015744,-64.40189524225998,141.0,11.547952,18.06116,14.2533865,7.629289,4.32
-41.419702943905776,-64.40188529609814,141.0,15.599012,28.241943,15.468881,9.849796,5.04
-41.41969932594304,-64.40187369224385,141.0,14.078393,20.976662,16.26996,11.509606,4.8
-41.41969570797914,-64.40186208839086,141.0,14.421814,22.658155,18.173111,12.418189,5.52
-41.41969260686629,-64.40185214223216,140.99999999999997,14.006332,26.342775,17.85078,13.296213,6.08
-41.41968898890021,-64.40184053838155,141.0,15.906176,27.224802,22.823269,14.2906065,6.56
-41.41968537093295,-64.40182893453223,141.0,16.382555,25.873077,23.610155,15.698937,7.16
-41.41968226981723,-64.4018189883767,141.0,17.550003,24.95662,22.965094,16.75472,6.36
-41.4196786518478,-64.40180738452977,141.0,18.55575,24.939184,25.434607,17.412516,10.48
-41.4196750338772,-64.40179578068413,141.0,19.693893,25.823605,29.832413,17.861912,11.04
-41.41967193275861,-64.40178583453175,141.0,18.776676,26.571238,33.61042,18.42325,10.24
-41.41966831478583,-64.4017742306885,141.0,19.4523,28.734577,39.30613,18.498259,8.6
-41.41966469681187,-64.40176262684653,141.0,18.896727,31.810106,48.952206,18.58425,9.04
-41.41966159569041,-64.40175268069731,141.0,18.93726,35.206722,36.722195,18.766865,8.44
-41.41965797771427,-64.40174107685775,141.0,19.498486,34.249504,31.360395,19.42206,8.88
-41.419654359736974,-64.40172947301946,141.0,20.654434,31.839825,29.16838,20.231401,13.36
-41.41965125861264,-64.40171952687339,141.0,21.790157,30.448532,27.987692,20.040897,13.92
-41.41964764063315,-64.4017079230375,141.00000000000003,24.65493,29.371477,27.79134,19.950716,13.08
-41.419644022652506,-64.4016963192029,141.0,25.80045,28.412903,27.756006,20.317928,12.6
-41.41964092152529,-64.40168637305999,141.0,26.52259,28.116701,28.037022,21.139585,11.96
-41.419637303542466,-64.40167476922777,141.0,24.84065,28.260878,28.76181,21.319904,18.16
-41.41963368555846,-64.40166316539685,141.0,23.686174,28.851149,29.241507,21.61886,17.28
-41.41963058442838,-64.40165321925708,141.0,23.43195,28.960632,30.081905,22.328747,17.8
-41.419626966442195,-64.40164161542856,141.0,23.32713,30.514414,30.962482,23.274,23.48
-41.41962334845484,-64.40163001160131,141.0,24.535883,32.566315,31.582745,23.201824,22.6
-41.41962024732189,-64.40162006546471,141.0,25.775866,33.52017,32.60888,23.493042,14.28
-41.41961662933235,-64.40160846163985,141.0,28.241278,34.186962,34.025116,23.240648,13.44
-41.41961301134165,-64.4015968578163,141.0,30.952879,33.504757,35.53029,23.722916,13.92
-41.419609910205835,-64.40158691168284,141.0,31.936626,31.751205,37.79706,24.332043,13.32
-41.419606292212954,-64.40157530786166,141.0,31.005135,29.934868,42.334557,24.41752,18.32
-41.41960267421889,-64.40156370404179,141.0,29.369337,29.029682,48.10722,24.3267,17.56
-41.419599573080205,-64.40155375791149,141.0,28.641563,28.306087,49.35105,24.566061,18.08
-41.41959595508397,-64.401542154094,141.0,28.09335,27.80321,44.28757,25.392561,17.28
-41.41959233708656,-64.4015305502778,141.0,28.40303,27.926094,39.794655,25.316868,23.6
-41.419589235945,-64.40152060415065,141.0,29.172544,28.189167,37.598167,25.32558,24.0
-41.419585617945415,-64.40150900033684,141.0,30.260752,28.798134,36.25702,25.648554,23.32
-41.41958199994466,-64.40149739652432,141.0,32.572872,29.532202,35.48222,26.340025,22.92
-41.419578898800225,-64.40148745040032,141.0,33.778847,30.172323,35.17155,26.76787,29.6
-41.41957528079728,-64.4014758465902,141.0,35.676308,30.94685,35.13877,26.86739,30.0
-41.419571662793174,-64.40146424278136,141.0,35.57881,31.037933,35.531704,27.03161,29.16
-41.419568561645875,-64.40145429666052,141.0,34.841602,30.931314,36.048283,27.340109,19.52
-41.419564943639585,-64.40144269285408,141.0,33.71825,30.723007,36.436222,27.298113,18.8
-41.41956132563213,-64.40143108904891,141.0,33.222145,30.22716,36.938534,27.391914,19.24
-41.41955822448195,-64.40142114293123,141.0,32.914593,30.089376,37.251907,27.783255,19.88
-41.41955460647232,-64.40140953912845,141.0,32.985,29.924723,36.8709,28.31848,20.44
