lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.41971659966432,-64.40192909411617,141.0,0.081919,11.784128,12.84564,-4.080147,7.070175438596492
-41.41971319932759,-64.40191818823347,141.0,4.508277,13.663342,15.7160635,3.1786315,5.701754385964913
-41.41970957230062,-64.40190655529318,140.99999999999997,12.187561,21.310896,18.198278,5.7562475,5.842105263157896
-41.419706171961764,-64.40189564941284,141.0,12.056152,23.238173,19.63715,7.779248,6.5087719298245625
-41.419702771621864,-64.40188474353363,141.0,13.8847685,22.090376,24.091698,9.314248,7.087719298245615
-41.41969937128093,-64.40187383765556,141.0,13.172457,22.698687,27.167145,12.096986,4.543859649122807
-41.41969597093896,-64.40186293177862,141.00000000000003,14.440046,26.98968,27.257921,12.216827,4.6491228070175445
-41.4196923439064,-64.40185129884448,141.0,18.430658,26.829597,28.144464,14.369236,5.000000000000001
-41.419688943562285,-64.4018403929699,141.0,25.453262,28.037628,29.605352,14.844549,1.666666666666667
-41.41968554321714,-64.40182948709646,141.0,25.78463,24.63367,30.103651,15.204133,1.5263157894736845
-41.419682142870954,-64.40181858122415,141.00000000000003,21.79129,25.267189,30.243301,16.24795,1.8596491228070178
-41.41967874252374,-64.40180767535298,141.0,20.27944,25.06041,30.81916,16.426212,2.298245614035088
-41.41967511548558,-64.401796042425,141.0,19.362862,25.960695,32.113636,16.805096,6.947368421052633
-41.41967171513622,-64.40178513655617,141.0,18.643225,26.005571,33.868027,18.145906,1.9473684210526319
-41.41966831478583,-64.4017742306885,141.0,18.592531,26.965662,35.188595,18.344719,8.403508771929825
-41.41966491443441,-64.40176332482196,141.0,19.40894,29.380577,36.480217,18.259872,2.7017543859649127
-41.41966151408194,-64.40175241895656,140.99999999999997,20.667284,33.203293,36.79012,18.747318,2.7368421052631584
-41.41965788703817,-64.40174078603472,141.0,21.804657,39.35569,37.467155,20.163103,9.210526315789474
-41.41965448668357,-64.40172988017166,141.0,22.91425,41.95528,36.188828,20.329067,9.17543859649123
-41.419651086327924,-64.40171897430974,141.00000000000003,24.759495,38.323235,35.46869,20.14572,3.0877192982456143
-41.41964768597125,-64.40170806844897,141.0,27.468987,36.93422,34.932957,20.438654,3.105263157894737
-41.41964428561354,-64.40169716258933,141.0,30.232544,38.18765,34.80963,21.509186,3.7192982456140355
-41.41964065856418,-64.40168552967363,141.0,32.97607,42.923176,34.908268,21.773365,4.000000000000001
-41.419637258204325,-64.40167462381635,141.0,37.622208,42.86071,35.078552,21.84486,3.4385964912280707
-41.41963385784343,-64.4016637179602,141.0,47.044487,36.595097,35.734978,22.127733,3.403508771929825
-41.41963045748152,-64.40165281210518,141.0,41.03253,33.162834,36.981346,22.547348,4.333333333333334
-41.41962705711856,-64.40164190625131,141.0,37.474537,31.612001,38.629066,22.734137,4.403508771929825
-41.419623430063595,-64.40163027334177,141.0,35.12018,31.221571,40.33135,23.340576,3.8947368421052637
-41.419620029698486,-64.40161936749024,141.0,32.655884,31.313032,41.14772,23.682148,3.859649122807018
-41.41961662933235,-64.40160846163985,141.0,31.000677,30.977613,41.02344,23.609802,4.701754385964913
-41.41961322896519,-64.40159755579062,141.0,30.266157,29.987686,40.62722,23.824179,4.736842105263158
-41.41960982859698,-64.4015866499425,141.0,29.712399,28.969671,40.578934,24.544956,4.614035087719299
-41.41960620153642,-64.40157501703911,141.0,28.912523,28.415483,41.23069,24.84549,5.228070175438598
-41.41960280116608,-64.40156411119334,141.0,28.340822,28.463516,42.669704,24.699167,5.052631578947369
-41.419599400794695,-64.40155320534872,141.0,28.120928,28.792034,45.095444,24.927053,5.070175438596492
-41.419596000422274,-64.40154229950524,141.0,27.9822,28.979198,48.683216,25.422903,5.754385964912282
-41.419592600048816,-64.40153139366289,141.0,27.725016,28.859097,52.488537,25.611465,5.929824561403509
-41.41958897298266,-64.40151976076565,141.0,27.498945,28.70078,51.990677,25.744701,5.438596491228071
-41.41958557260707,-64.40150885492565,141.0,27.4696,28.855738,49.386433,25.970648,5.473684210526317
-41.41958217223044,-64.4014979490868,141.0,27.494108,29.36532,47.423313,26.191784,6.263157894736843
-41.41957877185277,-64.40148704324908,141.0,27.452723,30.03339,45.88646,26.372807,6.350877192982457
-41.41957537147407,-64.40147613741249,141.0,27.413914,30.586226,44.43387,26.676659,6.017543859649123
-41.419571744402305,-64.4014645045214,141.0,27.470295,30.997656,42.923996,26.917395,6.035087719298247
-41.419568344021464,-64.40145359868717,141.0,27.572247,31.463095,41.633762,26.97876,6.68421052631579
-41.419564943639585,-64.40144269285408,141.0,27.647533,32.238415,40.49832,27.126772,6.754385964912282
-41.41956154325667,-64.40143178702212,141.0,27.703274,33.34273,39.480057,27.466911,6.719298245614036
-41.419558142872724,-64.4014208811913,141.0,27.79521,34.58114,38.535473,27.707006,7.210526315789474
-41.419554515795376,-64.40140924830635,141.0,27.944502,35.799084,37.611988,27.749783,7.140350877192984
-41.419551115409284,-64.40139834247789,141.0,28.083864,36.912613,36.8697,27.866552,7.105263157894738
-41.41954771502216,-64.40138743665057,141.0,28.197237,38.36342,36.2859,28.149176,7.403508771929825
-41.419544314634,-64.40137653082436,141.0,28.316753,40.508064,35.858322,28.316647,8.017543859649123
-41.4195409142448,-64.40136562499931,141.0,28.471079,43.519043,35.53625,28.457987,7.754385964912282
-41.419537287161845,-64.40135399212052,141.0,28.650988,47.530067,35.2221,28.594532,7.491228070175439
-41.41953388677051,-64.40134308629781,141.0,28.801165,51.530384,34.894028,28.799784,7.894736842105265
-41.419530486378136,-64.40133218047625,141.0,28.94222,54.12648,34.53146,28.894201,8.473684210526317
-41.419527085984726,-64.40132127465583,141.0,29.102686,51.02214,34.182304,29.072842,8.385964912280702
-41.419523685590285,-64.40131036883653,141.0,29.282248,46.620007,33.90402,29.282166,8.017543859649123
-41.419520058501725,-64.40129873596388,141.0,29.465752,43.37082,33.722874,29.450676,8.438596491228072
-41.41951665810514,-64.40128783014694,141.0,29.622396,41.378056,33.65828,29.48614,8.859649122807019
-41.41951325770752,-64.40127692433114,141.0,29.78399,39.9341,33.660713,29.627224,8.859649122807019
-41.41950985730886,-64.40126601851648,141.0,29.961634,38.73246,33.682022,29.876528,8.894736842105264
-41.419506456909176,-64.40125511270296,141.0,30.143892,37.685,33.68431,30.030066,9.596491228070176
-41.41950282981502,-64.40124347983645,141.0,30.331043,36.7673,33.657917,30.091127,9.333333333333334
-41.41949942941319,-64.40123257402527,141.0,30.502287,36.087147,33.630844,30.183872,9.263157894736844
-41.41949602901032,-64.40122166821524,141.0,30.672256,35.520462,33.634533,30.37738,9.508771929824563
-41.41949262860641,-64.40121076240635,141.0,30.840439,35.02521,33.686497,30.520105,10.228070175438598
