lat,lon,bat,tl_20m,tl_40m,tl_z_half,tl_zmin,zmin
-41.419716898893896,-64.4019300538339,141.0,-0.9290389,7.8805904,11.12697,-1.1950144,7.76
-41.41971276408442,-64.40191679228057,141.0,7.646229,11.323912,14.388067,5.9123974,5.76
-41.41970966297631,-64.40190684611666,141.0,10.334183,13.510295,15.947134,7.7909026,3.2
-41.41970656186733,-64.40189689995371,141.0,10.350903,14.968563,17.177498,9.312,4.0
-41.41970242705403,-64.4018836384046,141.0,13.228811,18.544634,18.850023,10.624502,4.0
-41.41969932594304,-64.40187369224385,141.0,14.3954115,23.565994,19.45409,11.860737,4.64
-41.4196962248312,-64.40186374608406,141.0,16.196173,24.567257,20.696169,13.048689,5.28
-41.41969209001406,-64.40185048453914,141.0,16.279648,22.33383,22.470377,13.897949,5.12
-41.41968898890021,-64.40184053838155,141.0,16.623348,24.276299,24.552109,14.802514,5.68
-41.41968588778549,-64.40183059222491,141.0,16.60569,27.982512,25.53892,15.642594,5.04
-41.419681752964536,-64.40181733068421,141.0,17.11198,30.850052,27.14894,16.506907,6.64
-41.4196786518478,-64.40180738452977,141.0,17.34846,31.03518,31.260235,17.086763,7.12
-41.41967555073022,-64.40179743837629,141.0,17.633888,31.842348,32.913193,17.560518,8.24
-41.41967141590543,-64.40178417683977,141.0,18.202124,34.38817,31.970402,18.134712,8.56
-41.41966831478583,-64.4017742306885,141.0,18.728258,37.933475,34.43639,18.608685,9.12
-41.41966521366537,-64.40176428453817,141.0,19.19351,42.98964,40.53597,19.11335,9.68
-41.419661078836754,-64.40175102300587,141.0,19.921972,51.108448,49.64115,19.737314,10.0
-41.41965797771427,-64.40174107685775,141.0,20.678543,45.831738,44.62028,20.244562,9.6
-41.419654876590954,-64.40173113071057,141.0,21.112246,41.586365,43.256878,20.73047,10.08
-41.4196507417585,-64.40171786918246,141.00000000000003,21.821896,38.58676,42.180225,21.424734,9.52
-41.41964764063315,-64.4017079230375,141.00000000000003,22.257172,37.273674,41.311615,21.976213,10.0
-41.419644539506955,-64.40169797689347,141.0,22.695728,36.55759,41.00497,22.205564,14.24
