punto,direccion,lat,lon,fraccion,dist_km,sedimento
p1_transito,N,-41.419720,-64.401940,0.000000,0.000000,
p1_transito,N,-41.409863,-64.401940,0.020000,1.095000,
p1_transito,N,-41.400006,-64.401940,0.040000,2.189000,
p1_transito,N,-41.390149,-64.401940,0.060000,3.284000,
p1_transito,N,-41.380292,-64.401940,0.080000,4.379000,
p1_transito,N,-41.370435,-64.401940,0.100000,5.474000,
p1_transito,N,-41.360578,-64.401940,0.120000,6.568000,
p1_transito,N,-41.350721,-64.401940,0.140000,7.663000,
p1_transito,N,-41.340864,-64.401940,0.160000,8.758000,
p1_transito,N,-41.331006,-64.401940,0.180000,9.853000,
p1_transito,N,-41.321149,-64.401940,0.200000,10.947000,
p1_transito,N,-41.311292,-64.401940,0.220000,12.042000,
p1_transito,N,-41.301435,-64.401940,0.240000,13.137000,
p1_transito,N,-41.291578,-64.401940,0.260000,14.232000,
p1_transito,N,-41.281721,-64.401940,0.280000,15.326000,
p1_transito,N,-41.271863,-64.401940,0.300000,16.421000,
p1_transito,N,-41.262006,-64.401940,0.320000,17.516000,
p1_transito,N,-41.252149,-64.401940,0.340000,18.611000,
p1_transito,N,-41.242292,-64.401940,0.360000,19.705000,
p1_transito,N,-41.232434,-64.401940,0.380000,20.800000,
p1_transito,N,-41.222577,-64.401940,0.400000,21.895000,
p1_transito,N,-41.212720,-64.401940,0.420000,22.989000,
p1_transito,N,-41.202862,-64.401940,0.440000,24.084000,
p1_transito,N,-41.193005,-64.401940,0.460000,25.179000,
p1_transito,N,-41.183148,-64.401940,0.480000,26.274000,
p1_transito,N,-41.173290,-64.401940,0.500000,27.368000,
p1_transito,N,-41.163433,-64.401940,0.520000,28.463000,
p1_transito,N,-41.153575,-64.401940,0.540000,29.558000,
p1_transito,N,-41.143718,-64.401940,0.560000,30.653000,
p1_transito,N,-41.133860,-64.401940,0.580000,31.747000,
p1_transito,N,-41.124003,-64.401940,0.600000,32.842000,
p1_transito,N,-41.114145,-64.401940,0.620000,33.937000,
p1_transito,N,-41.104288,-64.401940,0.640000,35.032000,
p1_transito,N,-41.094430,-64.401940,0.660000,36.126000,
p1_transito,N,-41.084573,-64.401940,0.680000,37.221000,
p1_transito,N,-41.074715,-64.401940,0.700000,38.316000,
p1_transito,N,-41.064858,-64.401940,0.720000,39.411000,
p1_transito,N,-41.055000,-64.401940,0.740000,40.505000,
p1_transito,N,-41.045142,-64.401940,0.760000,41.600000,
p1_transito,N,-41.035285,-64.401940,0.780000,42.695000,
p1_transito,N,-41.025427,-64.401940,0.800000,43.789000,
p1_transito,N,-41.015570,-64.401940,0.820000,44.884000,
p1_transito,N,-41.005712,-64.401940,0.840000,45.979000,
