punto,direccion,lat,lon,fraccion,dist_km,sedimento
p1_transito,N,-41.419720,-64.401940,0.000000,0.000000,Limo
p1_transito,N,-41.409670,-64.401940,0.020000,1.116000,Limo
p1_transito,N,-41.399619,-64.401940,0.040000,2.232000,Limo
p1_transito,N,-41.389569,-64.401940,0.060000,3.349000,Limo
p1_transito,N,-41.379518,-64.401940,0.080000,4.465000,Limo
p1_transito,N,-41.369468,-64.401940,0.100000,5.581000,Limo
p1_transito,N,-41.359418,-64.401940,0.120000,6.697000,Limo
p1_transito,N,-41.349367,-64.401940,0.140000,7.813000,Limo
p1_transito,N,-41.339317,-64.401940,0.160000,8.930000,Limo
p1_transito,N,-41.329266,-64.401940,0.180000,10.046000,Limo
p1_transito,N,-41.319216,-64.401940,0.200000,11.162000,Limo
p1_transito,N,-41.309165,-64.401940,0.220000,12.278000,Limo
p1_transito,N,-41.299115,-64.401940,0.240000,13.395000,Limo
p1_transito,N,-41.289064,-64.401940,0.260000,14.511000,Limo
p1_transito,N,-41.279013,-64.401940,0.280000,15.627000,Limo
p1_transito,N,-41.268963,-64.401940,0.300000,16.743000,Limo
p1_transito,N,-41.258912,-64.401940,0.320000,17.859000,Limo
p1_transito,N,-41.248862,-64.401940,0.340000,18.976000,Limo
p1_transito,N,-41.238811,-64.401940,0.360000,20.092000,Limo
p1_transito,N,-41.228760,-64.401940,0.380000,21.208000,Limo
p1_transito,N,-41.218709,-64.401940,0.400000,22.324000,Limo
p1_transito,N,-41.208659,-64.401940,0.420000,23.440000,Limo
p1_transito,N,-41.198608,-64.401940,0.440000,24.557000,Limo
p1_transito,N,-41.188557,-64.401940,0.460000,25.673000,Limo
p1_transito,N,-41.178507,-64.401940,0.480000,26.789000,Limo
p1_transito,N,-41.168456,-64.401940,0.500000,27.905000,Limo
p1_transito,N,-41.158405,-64.401940,0.520000,29.022000,Limo
p1_transito,N,-41.148354,-64.401940,0.540000,30.138000,Limo
p1_transito,N,-41.138303,-64.401940,0.560000,31.254000,Limo
p1_transito,N,-41.128252,-64.401940,0.580000,32.370000,Limo
p1_transito,N,-41.118202,-64.401940,0.600000,33.486000,Limo
p1_transito,N,-41.108151,-64.401940,0.620000,34.603000,Limo
p1_transito,N,-41.098100,-64.401940,0.640000,35.719000,Limo
p1_transito,N,-41.088049,-64.401940,0.660000,36.835000,Limo
p1_transito,N,-41.077998,-64.401940,0.680000,37.951000,Limo
p1_transito,N,-41.067947,-64.401940,0.700000,39.067000,Limo
p1_transito,N,-41.057896,-64.401940,0.720000,40.184000,Limo
p1_transito,N,-41.047845,-64.401940,0.740000,41.300000,Limo
p1_transito,N,-41.037794,-64.401940,0.760000,42.416000,Limo
p1_transito,N,-41.027743,-64.401940,0.780000,43.532000,Limo
p1_transito,N,-41.017692,-64.401940,0.800000,44.648000,Limo
p1_transito,N,-41.007641,-64.401940,0.820000,45.765000,Limo
p1_transito,N,-40.997590,-64.401940,0.840000,46.881000,Limo
p1_transito,N,-40.987539,-64.401940,0.860000,47.997000,Limo
p1_transito,N,-40.977488,-64.401940,0.880000,49.113000,Limo
p1_transito,N,-40.967436,-64.401940,0.900000,50.230000,Limo
p1_transito,N,-40.957385,-64.401940,0.920000,51.346000,Limo
p1_transito,N,-40.947334,-64.401940,0.940000,52.462000,Limo
p1_transito,N,-40.937283,-64.401940,0.960000,53.578000,Limo
p1_transito,N,-40.927232,-64.401940,0.980000,54.694000,Limo
p1_transito,N,-40.917181,-64.401940,1.000000,55.811000,Limo
p1_transito,NNE,-41.419720,-64.401940,0.000000,0.000000,Limo
p1_transito,NNE,-41.411188,-64.397246,0.020000,1.026000,Limo
p1_transito,NNE,-41.402656,-64.392553,0.040000,2.051000,Limo
p1_transito,NNE,-41.394124,-64.387861,0.060000,3.077000,Limo
p1_transito,NNE,-41.385592,-64.383170,0.080000,4.102000,Limo
p1_transito,NNE,-41.377059,-64.378481,0.100000,5.128000,Limo
p1_transito,NNE,-41.368526,-64.373793,0.120000,6.154000,Limo
p1_transito,NNE,-41.359993,-64.369106,0.140000,7.179000,Limo
p1_transito,NNE,-41.351460,-64.364420,0.160000,8.205000,Limo
p1_transito,NNE,-41.342926,-64.359736,0.180000,9.231000,Limo
p1_transito,NNE,-41.334393,-64.355053,0.200000,10.256000,Limo
p1_transito,NNE,-41.325859,-64.350371,0.220000,11.282000,Limo
p1_transito,NNE,-41.317325,-64.345690,0.240000,12.307000,Limo
p1_transito,NNE,-41.308791,-64.341010,0.260000,13.333000,Limo
p1_transito,NNE,-41.300256,-64.336332,0.280000,14.359000,Limo
p1_transito,NNE,-41.291722,-64.331655,0.300000,15.384000,Limo
p1_transito,NNE,-41.283187,-64.326979,0.320000,16.410000,Limo
p1_transito,NNE,-41.274652,-64.322304,0.340000,17.436000,Limo
p1_transito,NNE,-41.266116,-64.317631,0.360000,18.461000,Limo
p1_transito,NNE,-41.257581,-64.312959,0.380000,19.487000,Limo
p1_transito,NNE,-41.249045,-64.308288,0.400000,20.512000,Limo
p1_transito,NNE,-41.240510,-64.303618,0.420000,21.538000,Limo
p1_transito,NNE,-41.231973,-64.298949,0.440000,22.564000,Limo
p1_transito,NNE,-41.223437,-64.294282,0.460000,23.589000,Limo
p1_transito,NNE,-41.214901,-64.289616,0.480000,24.615000,Limo
p1_transito,NNE,-41.206364,-64.284951,0.500000,25.640000,Limo
p1_transito,NNE,-41.197827,-64.280287,0.520000,26.666000,Limo
p1_transito,NNE,-41.189290,-64.275624,0.540000,27.692000,Limo
p1_transito,NNE,-41.180753,-64.270963,0.560000,28.717000,Limo
p1_transito,NNE,-41.172215,-64.266303,0.580000,29.743000,Limo
p1_transito,NNE,-41.163678,-64.261644,0.600000,30.769000,Limo
p1_transito,NNE,-41.155140,-64.256986,0.620000,31.794000,Limo
p1_transito,NNE,-41.146602,-64.252330,0.640000,32.820000,Limo
p1_transito,NNE,-41.138063,-64.247675,0.660000,33.845000,Limo
p1_transito,NNE,-41.129525,-64.243021,0.680000,34.871000,Limo
p1_transito,NNE,-41.120986,-64.238368,0.700000,35.897000,Limo
p1_transito,NNE,-41.112447,-64.233716,0.720000,36.922000,Limo
p1_transito,NNE,-41.103908,-64.229066,0.740000,37.948000,Limo
p1_transito,NNE,-41.095369,-64.224416,0.760000,38.973000,Limo
p1_transito,NNE,-41.086830,-64.219768,0.780000,39.999000,Limo
p1_transito,NNE,-41.078290,-64.215121,0.800000,41.025000,Limo
p1_transito,NNE,-41.069750,-64.210476,0.820000,42.050000,Grava arenosa
p1_transito,NNE,-41.061210,-64.205831,0.840000,43.076000,Grava arenosa
p1_transito,NNE,-41.052670,-64.201188,0.860000,44.102000,Grava arenosa
p1_transito,NNE,-41.044129,-64.196546,0.880000,45.127000,Grava arenosa
p1_transito,NNE,-41.035588,-64.191905,0.900000,46.153000,Grava arenosa
p1_transito,NNE,-41.027048,-64.187266,0.920000,47.178000,Grava arenosa
p1_transito,NNE,-41.018507,-64.182627,0.940000,48.204000,Grava arenosa
p1_transito,NNE,-41.009965,-64.177990,0.960000,49.230000,Grava arenosa
