punto,direccion,lat,lon,fraccion,dist_km,sedimento
p2_planta,N,-41.118060,-65.098060,0.000000,0.000000,
p2_planta,N,-41.112169,-65.098060,0.020000,0.654000,
p2_planta,N,-41.106279,-65.098060,0.040000,1.308000,
p2_planta,N,-41.100388,-65.098060,0.060000,1.963000,
p2_planta,N,-41.094498,-65.098060,0.080000,2.617000,
p2_planta,N,-41.088607,-65.098060,0.100000,3.271000,
p2_planta,N,-41.082717,-65.098060,0.120000,3.925000,
p2_planta,N,-41.076826,-65.098060,0.140000,4.579000,
p2_planta,N,-41.070936,-65.098060,0.160000,5.233000,
p2_planta,N,-41.065045,-65.098060,0.180000,5.888000,
p2_planta,N,-41.059155,-65.098060,0.200000,6.542000,
p2_planta,N,-41.053264,-65.098060,0.220000,7.196000,
p2_planta,N,-41.047373,-65.098060,0.240000,7.850000,
p2_planta,N,-41.041483,-65.098060,0.260000,8.504000,
p2_planta,N,-41.035592,-65.098060,0.280000,9.158000,
p2_planta,N,-41.029702,-65.098060,0.300000,9.813000,
p2_planta,N,-41.023811,-65.098060,0.320000,10.467000,
p2_planta,N,-41.017921,-65.098060,0.340000,11.121000,
p2_planta,N,-41.012030,-65.098060,0.360000,11.775000,
p2_planta,N,-41.006139,-65.098060,0.380000,12.429000,
p2_planta,N,-41.000249,-65.098060,0.400000,13.084000,
p2_planta,N,-40.994358,-65.098060,0.420000,13.738000,
p2_planta,N,-40.988467,-65.098060,0.440000,14.392000,
p2_planta,N,-40.982577,-65.098060,0.460000,15.046000,
p2_planta,N,-40.976686,-65.098060,0.480000,15.700000,
p2_planta,N,-40.970795,-65.098060,0.500000,16.354000,
p2_planta,N,-40.964905,-65.098060,0.520000,17.009000,
p2_planta,N,-40.959014,-65.098060,0.540000,17.663000,
p2_planta,N,-40.953123,-65.098060,0.560000,18.317000,
p2_planta,N,-40.947233,-65.098060,0.580000,18.971000,
p2_planta,N,-40.941342,-65.098060,0.600000,19.625000,
p2_planta,N,-40.935451,-65.098060,0.620000,20.279000,
p2_planta,N,-40.929561,-65.098060,0.640000,20.934000,
p2_planta,N,-40.923670,-65.098060,0.660000,21.588000,
p2_planta,N,-40.917779,-65.098060,0.680000,22.242000,
p2_planta,N,-40.911889,-65.098060,0.700000,22.896000,
p2_planta,N,-40.905998,-65.098060,0.720000,23.550000,
p2_planta,N,-40.900107,-65.098060,0.740000,24.205000,
p2_planta,N,-40.894216,-65.098060,0.760000,24.859000,
p2_planta,N,-40.888326,-65.098060,0.780000,25.513000,
p2_planta,N,-40.882435,-65.098060,0.800000,26.167000,
p2_planta,N,-40.876544,-65.098060,0.820000,26.821000,
p2_planta,N,-40.870653,-65.098060,0.840000,27.475000,
p2_planta,N,-40.864763,-65.098060,0.860000,28.130000,
p2_planta,N,-40.858872,-65.098060,0.880000,28.784000,
p2_planta,N,-40.852981,-65.098060,0.900000,29.438000,
p2_planta,N,-40.847090,-65.098060,0.920000,30.092000,
p2_planta,N,-40.841200,-65.098060,0.940000,30.746000,
p2_planta,N,-40.835309,-65.098060,0.960000,31.401000,
p2_planta,N,-40.829418,-65.098060,0.980000,32.055000,
p2_planta,N,-40.823527,-65.098060,1.000000,32.709000,
p2_planta,NNE,-41.118060,-65.098060,0.000000,0.000000,
p2_planta,NNE,-41.110036,-65.093666,0.020000,0.964000,
p2_planta,NNE,-41.102012,-65.089273,0.040000,1.929000,
p2_planta,NNE,-41.093988,-65.084881,0.060000,2.893000,
p2_planta,NNE,-41.085964,-65.080490,0.080000,3.858000,
p2_planta,NNE,-41.077940,-65.076100,0.100000,4.822000,
p2_planta,NNE,-41.069915,-65.071711,0.120000,5.787000,
p2_planta,NNE,-41.061891,-65.067323,0.140000,6.751000,
p2_planta,NNE,-41.053866,-65.062936,0.160000,7.716000,
p2_planta,NNE,-41.045841,-65.058551,0.180000,8.680000,
p2_planta,NNE,-41.037815,-65.054166,0.200000,9.645000,
p2_planta,NNE,-41.029790,-65.049782,0.220000,10.609000,
p2_planta,NNE,-41.021764,-65.045400,0.240000,11.574000,
p2_planta,NNE,-41.013738,-65.041019,0.260000,12.538000,
p2_planta,NNE,-41.005712,-65.036638,0.280000,13.503000,
p2_planta,NNE,-40.997686,-65.032259,0.300000,14.467000,
p2_planta,NNE,-40.989660,-65.027881,0.320000,15.432000,
p2_planta,NNE,-40.981633,-65.023504,0.340000,16.396000,
